Period	Date	Data1.MEAN	Data1.MEDIAN	Data2.MEAN	Data2.MEDIAN	Data3.MEAN	Data3.MEDIAN
Winter 2010	26-03-2010	0,3580917	0,307479	0,551191	0,612853	0,3476462	0,3996462
Winter 2010	27-03-2010	0,2857486	0,3216313	0,539191	0,616853	0,3275916857	0,3565916857
Winter 2010	28-03-2010	0,3625268	0,2923447	0,537639	0,592277	0,3407172857	0,3427172857
Winter 2010	05-04-2010	0,3595873	0,302514	0,734042	0,850285	0,3988980857	0,4078980857
Winter 2010	07-04-2010	0,2687819	0,3137315	0,724274	0,765992	0,3733678286	0,4573678286
Winter 2010	12-04-2010	0,3144828	0,3142455	0,553926	0,51743	0,3379012286	0,3639012286
Winter 2010	13-04-2010	0,3224185	0,3156443	0,56189	0,500566	0,3428436571	0,3448436571
Winter 2010	14-04-2010	0,3253362	0,2914218	0,549074	0,496571	0,3330948571	0,3400948571
Winter 2010	15-04-2010	0,3033312	0,2841784	0,448144	0,428845	0,2959010286	0,2999010286
Winter 2010	25-04-2010	0,3152793	0,2506152	0,380537	0,385714	0,270409	0,324409
Winter 2010	26-04-2010	0,3016958	0,2643808	0,417791	0,393714	0,2811050286	0,3061050286
Winter 2010	28-04-2010	0,2529661	0,2811994	0,356454	0,3833	0,2544627143	0,3434627143
Summer 2010	03-05-2010	0,3516108	0,2764118	0,327273	0,2915632	0,2729416	0,3239416
Summer 2010	04-05-2010	0,2653692	0,3018166	0,3355803	0,2711441	0,2579331714	0,3559331714
Summer 2010	05-05-2010	0,2774876	0,2895741	0,2928003	0,2622804	0,2456748571	0,3166748571
Summer 2010	06-05-2010	0,3309408	0,2920772	0,4059012	0,3537138	0,2939769143	0,3199769143
Summer 2010	07-05-2010	0,3028127	0,3101523	0,4027628	0,3985726	0,2902079429	0,3672079429
Summer 2010	08-05-2010	0,2979527	0,2903146	0,38562	0,36086	0,2782535143	0,2822535143
Summer 2010	09-05-2010	0,2985084	0,3068627	0,584716	0,591565	0,3400248857	0,4350248857
Summer 2010	10-05-2010	0,3328266	0,2929459	0,594497	0,64456	0,3486484286	0,4166484286
Summer 2010	11-05-2010	0,2753702	0,3098487	0,474937	0,587424	0,3029016857	0,3459016857
Summer 2010	12-05-2010	0,3467084	0,3033988	0,473937	0,522424	0,3211554857	0,3221554857
Summer 2010	13-05-2010	0,2997854	0,3078567	0,47638	0,545005	0,3097206	0,3727206
Summer 2010	21-05-2010	0,2893784	0,308513	0,568091	0,375996	0,3331378286	0,3381378286
Summer 2010	22-05-2010	0,3114192	0,315491	0,620309	0,65058	0,3563483429	0,4423483429
