Period	Date	Data1.MEAN	Data1.MEDIAN	Data2.MEAN	Data2.MEDIAN	Data3.MEAN	Data3.MEDIAN
Winter 2010	26-03-2010	0,3580917	0,307479	0,551191	0,612853	0,3476462	0,3996462
Winter 2010	26-04-2010	0,3016958	0,2643808	0,417791	0,393714	0,2811050286	0,3061050286
Summer 2010	03-07-2010	0,1916181	0,1816603	0,390925	0,37385	0,2183438286	0,2923438286
Summer 2010	04-07-2010	0,2548711	0,1738567	0,4349834	0,4957131	0,2467746286	0,3437746286
Winter 2011	01-11-2010	0,3393042	0,2870481	0,497295	0,538132	0,3210420857	0,3690420857
Summer 2011	04-06-2011	0,222748	0,2218226	0,363823	0,275725	0,2309696	0,2809696
Summer 2011	05-06-2011	0,241889	0,1918457	0,373566	0,292997	0,2306573429	0,2966573429
Winter 2012	07-11-2011	0,2264874	0,2601413	0,373048	0,274139	0,2456219143	0,2756219143
Winter 2012	08-11-2011	0,2414665	0,2662565	0,314382	0,279857	0,2348871429	0,2598871429
Winter 2012	09-11-2011	0,2817838	0,2325952	0,376063	0,468148	0,254412	0,287412
Winter 2012	10-11-2011	0,2476841	0,2667485	0,406902	0,476582	0,2632384571	0,3632384571
